"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,4,0.01,0.66,20,0.75,500,138340004.354986,11037245.4274695
0.01,8,0.01,0.66,40,0.75,500,138359175.481206,12121905.9278557
0.05,4,0.01,0.75,20,0.66,500,138379160.925433,11014337.0938406
0.01,8,0.1,0.66,40,0.66,500,138398275.474193,12235074.0959326
0.05,4,0,0.66,20,0.75,500,138411451.531297,11584907.3186405
0.05,4,0.01,0.75,40,0.66,500,138419909.562221,11326003.382153
0.05,4,0.001,0.75,20,0.66,500,138422705.502456,11252509.0465114
0.01,8,0.001,0.66,40,0.75,500,138455167.448235,12472833.1488087
0.05,4,0,0.75,40,0.66,500,138460217.472906,11106814.4974737
0.01,8,0.001,0.66,40,0.66,500,138474915.41284,12438670.4389636
0.05,4,0.01,0.75,40,0.75,500,138477095.716179,11002495.863905
0.05,4,0.001,0.75,20,0.75,500,138488425.522528,10817268.6653918
0.05,4,0.001,0.75,40,0.75,500,138515294.439886,11288250.5305066
0.05,4,0,0.66,40,0.75,500,138538591.029799,11317853.6616105
0.05,4,0.001,0.66,20,0.75,500,138572488.446826,11345735.0152039
0.01,8,0,0.66,40,0.66,500,138597067.529108,12330268.4538512
0.05,4,0.1,0.66,40,0.66,500,138652651.611456,11478962.9537
0.05,4,0.001,0.66,40,0.75,500,138664978.698346,10913881.4563446
0.05,4,0.01,0.66,20,0.66,500,138693217.861689,11019230.4166647
0.05,4,0.01,0.75,20,0.75,500,138766909.720924,11300811.4642097
0.05,4,0.01,0.66,40,0.66,500,138785520.12328,10805622.8502208
0.05,4,0.001,0.75,40,0.66,500,138818600.580743,11586106.1650071
0.05,4,0.1,0.66,20,0.66,500,138822699.589736,11268972.58756
0.05,4,0,0.66,20,0.66,500,138920570.677021,11417995.7402257
0.05,4,0.1,0.75,40,0.66,500,138932591.55121,11366292.4466264
0.05,4,0.1,0.75,40,0.75,500,138934664.705139,11402924.3699511
0.05,4,0.001,0.66,40,0.66,500,138955158.117421,11470916.8115244
0.05,4,0.1,0.66,40,0.75,500,139008261.903132,11404144.344443
0.05,4,0.1,0.66,20,0.75,500,139044950.456877,11130117.5716095
0.05,4,0.001,0.66,20,0.66,500,139212929.723691,11507296.0611376
0.05,4,0.01,0.66,40,0.75,500,139246820.230896,10579554.1669085
0.05,4,0.001,0.75,40,0.75,250,140861297.795998,10675546.8491218
0.05,4,0.1,0.75,20,0.75,250,140927021.811021,10516456.6835712
0.05,4,0,0.66,40,0.75,250,140971999.604144,10851461.736176
0.05,4,0,0.66,20,0.66,250,140974956.942997,10866430.2632137
0.05,4,0,0.75,40,0.75,250,141026134.804328,10384046.1334693
0.05,4,0.01,0.66,20,0.75,250,141074146.276413,10757499.4959318
0.05,4,0.001,0.75,20,0.75,250,141095614.529776,11058706.8017269
0.05,4,0.001,0.75,20,0.66,250,141096257.845192,10096817.7698116
0.05,4,0.001,0.66,20,0.75,250,141157557.575674,11082145.1790569
0.05,4,0.01,0.75,20,0.75,250,141161628.929727,10724237.4352072
0.05,4,0.1,0.75,20,0.66,250,141169900.118526,10541048.4259279
0.05,4,0,0.66,40,0.66,250,141173008.663532,10470350.3559912
0.05,4,0,0.75,20,0.66,250,141198760.022114,11279840.5305301
0.05,4,0.01,0.75,40,0.66,250,141208723.68112,10917068.3615536
0.05,4,0.01,0.66,20,0.66,250,141237734.423991,11199342.3519091
0.05,4,0.001,0.66,20,0.66,250,141308402.041066,10734623.9714309
0.05,4,0.01,0.75,40,0.75,250,141313276.261291,10753861.1321961
0.05,4,0,0.75,40,0.66,250,141317823.9338,11138571.3441496
0.05,4,0.001,0.66,40,0.75,250,141331131.795542,11561817.954289
0.05,4,0.01,0.66,40,0.66,250,141376629.891343,11079082.4253593
0.05,4,0.001,0.75,40,0.66,250,141390360.404334,11364676.2078508
0.05,4,0.1,0.75,40,0.75,250,141398433.028637,11107708.5969102
0.05,4,0.01,0.75,20,0.66,250,141424207.879109,10274582.1372781
0.05,4,0,0.66,20,0.75,250,141444021.89941,10788250.8697514
0.05,4,0.1,0.66,40,0.75,250,141482115.083386,10494376.3864705
0.05,4,0.1,0.75,40,0.66,250,141505537.077467,11012923.8735745
0.05,4,0.001,0.66,40,0.66,250,141535192.067018,11294419.9918305
0.05,4,0,0.75,20,0.75,250,141574969.40494,10547524.0623095
