"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,4,0.1,0.66,20,0.66,500,122593429.752378,1277129.32836423
0.05,4,0,0.66,40,0.66,500,122629611.557399,1020716.94809497
0.05,4,0.001,0.66,40,0.66,500,122641632.036917,921485.497848983
0.05,4,0.1,0.66,40,0.75,500,122700914.897234,1091483.26672418
0.05,4,0.1,0.66,40,0.66,500,122780436.173962,1256572.90070701
0.05,4,0.1,0.75,40,0.66,250,128176732.138442,945542.319723957
0.05,4,0,0.75,20,0.66,250,128209921.193982,1084876.69314163
0.05,4,0,0.75,20,0.75,250,128282610.264017,1360406.3116047
0.05,4,0,0.75,40,0.75,250,128347628.008312,1156530.36830043
0.05,4,0.001,0.75,20,0.75,250,128349390.493455,961264.645060364
0.05,4,0.01,0.75,20,0.66,250,128352165.403783,1217462.33540886
0.05,4,0.001,0.75,40,0.66,250,128394570.763873,1095014.46335385
0.05,4,0.001,0.75,20,0.66,250,128401075.734834,1109941.15236655
0.05,4,0.01,0.75,20,0.75,250,128425326.484102,1281094.77346768
0.05,4,0.001,0.66,20,0.66,250,128429087.516669,1096322.91101365
0.05,4,0.1,0.75,20,0.75,250,128446383.769581,1334798.14793278
0.05,4,0.01,0.66,40,0.75,250,128477932.964455,1409137.61842299
0.05,4,0.01,0.75,40,0.66,250,128485672.922706,1190566.03879098
0.05,4,0.001,0.75,40,0.75,250,128486975.94227,1297906.23623146
0.05,4,0,0.66,20,0.75,250,128502172.645843,1137646.55717855
0.05,4,0.01,0.75,40,0.75,250,128521598.503222,1308407.6138758
0.05,4,0.1,0.75,40,0.75,250,128529718.683179,1168894.18100931
0.05,4,0.001,0.66,20,0.75,250,128540824.339814,1109754.30587092
0.05,4,0.1,0.75,20,0.66,250,128545363.706601,998159.043420206
0.05,4,0,0.75,40,0.66,250,128555914.10003,1296245.01222827
0.05,4,0,0.66,20,0.66,250,128580413.349261,1086313.51271991
0.05,4,0,0.66,40,0.75,250,128597944.017049,1386764.06925311
0.05,4,0.1,0.66,20,0.66,250,128616741.903719,1181583.21706836
0.05,4,0.1,0.66,20,0.75,250,128659497.675141,1122370.44328107
0.05,4,0.01,0.66,20,0.75,250,128720987.23098,1250030.07183446
0.05,4,0.001,0.66,40,0.75,250,128731151.441181,1041977.04009641
0.05,4,0,0.66,40,0.66,250,128753102.6396,865938.217389667
0.05,4,0.1,0.66,40,0.66,250,128799835.206324,1140756.89031181
0.05,4,0.01,0.66,20,0.66,250,128918848.548791,1119055.41980979
